author,idn,place,recipient,title,year,location,point,lat,lon
"Marck, Louis",996996036,"New York, NY","Heilbut, Iwan",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Marni-Kahans, Bella",996996559,"New York, NY","Heilbut, Iwan",Korrespondenz,1957-1962,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Martin, Hilda Maria",997070471,"New York, NY","Heilbut, Iwan",Korrespondenz,1947-1972,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Meckauer, Walter",997080981,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1953,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Mehring, Walter",997081368,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Hurwitz, Henry",997095563,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Mumford, Lewis",997224703,"New York, NY","Heilbut, Iwan",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Namuth, Hans",997225297,"New York, NY","Heilbut, Iwan",Korrespondenz,1967-1967,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Gutheil, Lilly",997233494,"New York, NY","Heilbut, Iwan",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Baron, Sylvia",997235691,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heimann, Eduard",997263202,"New York, NY","Heilbut, Iwan",Korrespondenz,1947-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Schuchard, Gottlieb C. L.",997266481,"New York, NY","Heilbut, Iwan",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Beals, Ralph A.",997267399,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
